comment,case_folding,remove_emoji,cleaning_text,replace_3_or_more,tokenize,word_normalization,stemming,stopwords,Sentiments,Label
Sebaiknya jangan nunggu sakit baru ngurus BPJS ya mom.. insyaAllah BPJS sangat membantu dan memudahkan moms. Asal pembayaran jgn sampe telat. Ikut yg kelas 3 aja klo blm mampu kelas yg 2 atau kelas 1.,sebaiknya jangan nunggu sakit baru ngurus bpjs ya mom.. insyaallah bpjs sangat membantu dan memudahkan moms. asal pembayaran jgn sampe telat. ikut yg kelas 3 aja klo blm mampu kelas yg 2 atau kelas 1.,sebaiknya jangan nunggu sakit baru ngurus bpjs ya mom.. insyaallah bpjs sangat membantu dan memudahkan moms. asal pembayaran jgn sampe telat. ikut yg kelas 3 aja klo blm mampu kelas yg 2 atau kelas 1.,sebaiknya jangan nunggu sakit baru ngurus bpjs ya mom   insyaallah bpjs sangat membantu dan memudahkan moms  asal pembayaran jgn sampe telat  ikut yg kelas   aja klo blm mampu kelas yg   atau kelas   ,sebaiknya jangan nungu sakit baru ngurus bpjs ya mom insyalah bpjs sangat membantu dan memudahkan moms asal pembayaran jgn sampe telat ikut yg kelas aja klo blm mampu kelas yg atau kelas ,"['sebaiknya', 'jangan', 'nungu', 'sakit', 'baru', 'ngurus', 'bpjs', 'ya', 'mom', 'insyalah', 'bpjs', 'sangat', 'membantu', 'dan', 'memudahkan', 'moms', 'asal', 'pembayaran', 'jgn', 'sampe', 'telat', 'ikut', 'yg', 'kelas', 'aja', 'klo', 'blm', 'mampu', 'kelas', 'yg', 'atau', 'kelas']",sebaiknya jangan nunggu sakit baru ngurus bpjs ya ibu insyalah bpjs sangat membantu dan memudahkan moms asal pembayaran jangan sampai telat ikut yang kelas saja kalau belum mampu kelas yang atau kelas,baik jangan nunggu sakit baru ngurus bpjs ya ibu insya bpjs sangat bantu dan mudah moms asal bayar jangan sampai telat ikut yang kelas saja kalau belum mampu kelas yang atau kelas,baik jangan nunggu sakit baru ngurus bpjs ibu insya bpjs sangat bantu mudah moms asal bayar jangan telat ikut kelas kalau mampu kelas kelas,1,positif
@nuranjelina wah info menarik thanks for sharing mom ❤,@nuranjelina wah info menarik thanks for sharing mom â¤,@nuranjelina wah info menarik thanks for sharing mom ,  wah info menarik thanks for sharing mom , wah info menarik thanks for sharing mom ,"['wah', 'info', 'menarik', 'thanks', 'for', 'sharing', 'mom']",wah info menarik terimakasih for berbagi ibu,wah info tarik terimakasih for bagi ibu,wah info tarik terimakasih for ibu,1,positif
"demam 39 naik turun terus sampe mau 4 hari, lgsg ke igd rs swasta biar cepet dpt plyanan yg bagus, pas smpe sana ditawarin pake bpjs, alhmdllah bisa. dpt plyanan bagus bgt + gratisss tisss....","demam 39 naik turun terus sampe mau 4 hari, lgsg ke igd rs swasta biar cepet dpt plyanan yg bagus, pas smpe sana ditawarin pake bpjs, alhmdllah bisa. dpt plyanan bagus bgt + gratisss tisss....","demam 39 naik turun terus sampe mau 4 hari, lgsg ke igd rs swasta biar cepet dpt plyanan yg bagus, pas smpe sana ditawarin pake bpjs, alhmdllah bisa. dpt plyanan bagus bgt + gratisss tisss....",demam    naik turun terus sampe mau   hari  lgsg ke igd rs swasta biar cepet dpt plyanan yg bagus  pas smpe sana ditawarin pake bpjs  alhmdllah bisa  dpt plyanan bagus bgt   gratisss tisss    ,demam naik turun terus sampe mau hari lgsg ke igd rs swasta biar cepet dpt plyanan yg bagus pas smpe sana ditawarin pake bpjs alhmdlah bisa dpt plyanan bagus bgt gratis tis ,"['demam', 'naik', 'turun', 'terus', 'sampe', 'mau', 'hari', 'lgsg', 'ke', 'igd', 'rs', 'swasta', 'biar', 'cepet', 'dpt', 'plyanan', 'yg', 'bagus', 'pas', 'smpe', 'sana', 'ditawarin', 'pake', 'bpjs', 'alhmdlah', 'bisa', 'dpt', 'plyanan', 'bagus', 'bgt', 'gratis', 'tis']",demam naik turun terus sampai mau hari langsung ke igd rumah sakit swasta supaya cepat dapat plyanan yang bagus pas sampai sana ditawarin pakai bpjs alhmdlah bisa dapat plyanan bagus banget gratis tis,demam naik turun terus sampai mau hari langsung ke igd rumah sakit swasta supaya cepat dapat plyanan yang bagus pas sampai sana ditawarin pakai bpjs alhmdlah bisa dapat plyanan bagus banget gratis tis,demam naik turun terus mau hari langsung igd rumah sakit swasta cepat plyanan bagus sana ditawarin pakai bpjs alhmdlah plyanan bagus banget gratis tis,1,positif
Anakku demam tinggi + gejala dehidrasi + batpil lsg disuruh rawat inap sama dokter dan tercover BPJS semuanya free pelayanannya sama2 baik dan aman  ,anakku demam tinggi + gejala dehidrasi + batpil lsg disuruh rawat inap sama dokter dan tercover bpjs semuanya free pelayanannya sama2 baik dan aman  ,anakku demam tinggi + gejala dehidrasi + batpil lsg disuruh rawat inap sama dokter dan tercover bpjs semuanya free pelayanannya sama2 baik dan aman  ,anakku demam tinggi   gejala dehidrasi   batpil lsg disuruh rawat inap sama dokter dan tercover bpjs semuanya free pelayanannya sama  baik dan aman  ,anaku demam tingi gejala dehidrasi batpil lsg disuruh rawat inap sama dokter dan tercover bpjs semuanya fre pelayananya sama baik dan aman ,"['anaku', 'demam', 'tingi', 'gejala', 'dehidrasi', 'batpil', 'lsg', 'disuruh', 'rawat', 'inap', 'sama', 'dokter', 'dan', 'tercover', 'bpjs', 'semuanya', 'fre', 'pelayananya', 'sama', 'baik', 'dan', 'aman']",anakku demam tinggi gejala dehidrasi obat pilek langsung disuruh rawat inap sama dokter dan tercover bpjs semuanya gratis pelayananya sama baik dan aman,anak demam tinggi gejala dehidrasi obat pilek langsung suruh rawat inap sama dokter dan tercover bpjs semua gratis pelayananya sama baik dan aman,anak demam tinggi gejala dehidrasi obat pilek langsung suruh rawat inap sama dokter tercover bpjs semua gratis pelayananya sama baik aman,1,positif
 anak saya pernah begitu jg nih tp Alhamdulillah bisa pake bpjs kok..... Keluarga saya sangat terbantu dengan hadirnya bpjs ini, anak saya pernah begitu jg nih tp alhamdulillah bisa pake bpjs kok..... keluarga saya sangat terbantu dengan hadirnya bpjs ini, anak saya pernah begitu jg nih tp alhamdulillah bisa pake bpjs kok..... keluarga saya sangat terbantu dengan hadirnya bpjs ini, anak saya pernah begitu jg nih tp alhamdulillah bisa pake bpjs kok      keluarga saya sangat terbantu dengan hadirnya bpjs ini, anak saya pernah begitu jg nih tp alhamdulilah bisa pake bpjs kok keluarga saya sangat terbantu dengan hadirnya bpjs ini,"['anak', 'saya', 'pernah', 'begitu', 'jg', 'nih', 'tp', 'alhamdulilah', 'bisa', 'pake', 'bpjs', 'kok', 'keluarga', 'saya', 'sangat', 'terbantu', 'dengan', 'hadirnya', 'bpjs', 'ini']",anak saya pernah begitu juga ini tapi alhamdulilah bisa pakai bpjs kok keluarga saya sangat terbantu dengan hadirnya bpjs ini,anak saya pernah begitu juga ini tapi alhamdulilah bisa pakai bpjs kok keluarga saya sangat bantu dengan hadir bpjs ini,anak pernah alhamdulilah pakai bpjs kok keluarga sangat bantu hadir bpjs,1,positif
"Alhamdulillah nak saya waktu DBD sama muntaber dicover BPJS, pelayanan oke banget cepat dan cekatan","alhamdulillah nak saya waktu dbd sama muntaber dicover bpjs, pelayanan oke banget cepat dan cekatan","alhamdulillah nak saya waktu dbd sama muntaber dicover bpjs, pelayanan oke banget cepat dan cekatan",alhamdulillah nak saya waktu dbd sama muntaber dicover bpjs  pelayanan oke banget cepat dan cekatan,alhamdulilah nak saya waktu dbd sama muntaber dicover bpjs pelayanan oke banget cepat dan cekatan,"['alhamdulilah', 'nak', 'saya', 'waktu', 'dbd', 'sama', 'muntaber', 'dicover', 'bpjs', 'pelayanan', 'oke', 'banget', 'cepat', 'dan', 'cekatan']",alhamdulilah anak saya waktu dbd sama muntaber dicover bpjs pelayanan oke banget cepat dan cekatan,alhamdulilah anak saya waktu dbd sama muntaber dicover bpjs layan oke banget cepat dan cekat,alhamdulilah anak waktu dbd sama muntaber dicover bpjs layan oke banget cepat cekat,1,positif
Anakku baru aja kemarin opname diagnosa dokter kena ispa dan lekosit tinggi Alhamdulillah dicover bpjs dengan baik,anakku baru aja kemarin opname diagnosa dokter kena ispa dan lekosit tinggi alhamdulillah dicover bpjs dengan baik,anakku baru aja kemarin opname diagnosa dokter kena ispa dan lekosit tinggi alhamdulillah dicover bpjs dengan baik,anakku baru aja kemarin opname diagnosa dokter kena ispa dan lekosit tinggi alhamdulillah dicover bpjs dengan baik,anaku baru aja kemarin opname diagnosa dokter kena ispa dan lekosit tingi alhamdulilah dicover bpjs dengan baik,"['anaku', 'baru', 'aja', 'kemarin', 'opname', 'diagnosa', 'dokter', 'kena', 'ispa', 'dan', 'lekosit', 'tingi', 'alhamdulilah', 'dicover', 'bpjs', 'dengan', 'baik']",anakku baru saja kemarin opname diagnosa dokter kena ispa dan lekosit tinggi alhamdulilah dicover bpjs dengan baik,anak baru saja kemarin opname diagnosa dokter kena ispa dan lekosit tinggi alhamdulilah dicover bpjs dengan baik,anak baru kemarin opname diagnosa dokter kena ispa lekosit tinggi alhamdulilah dicover bpjs baik,1,positif
"RSUPN Cipto Mangunkusumo ayah ku pasang 2 ring, di layani dengan �sangat cepat� ????????
Mama ku di RSUP fatmawati di layani dng baik","rsupn cipto mangunkusumo ayah ku pasang 2 ring, di layani dengan sangat cepat ????????
mama ku di rsup fatmawati di layani dng baik","rsupn cipto mangunkusumo ayah ku pasang 2 ring, di layani dengan sangat cepat ????????
mama ku di rsup fatmawati di layani dng baik",rsupn cipto mangunkusumo ayah ku pasang   ring  di layani dengan sangat cepat          mama ku di rsup fatmawati di layani dng baik,rsupn cipto mangunkusumo ayah ku pasang ring di layani dengan sangat cepat mama ku di rsup fatmawati di layani dng baik,"['rsupn', 'cipto', 'mangunkusumo', 'ayah', 'ku', 'pasang', 'ring', 'di', 'layani', 'dengan', 'sangat', 'cepat', 'mama', 'ku', 'di', 'rsup', 'fatmawati', 'di', 'layani', 'dng', 'baik']",rsupn cipto mangunkusumo ayah ku pasang ring di layani dengan sangat cepat ibu ku di rsup fatmawati di layani dengan baik,rsupn cipto mangunkusumo ayah ku pasang ring di layan dengan sangat cepat ibu ku di rsup fatmawati di layan dengan baik,rsupn cipto mangunkusumo ayah ku pasang ring layan sangat cepat ibu ku rsup fatmawati layan baik,1,positif
Syukurlah ada BPJS temen2 semoga udah langsung terpotong lewat sistem penggajian.,syukurlah ada bpjs temen2 semoga udah langsung terpotong lewat sistem penggajian.,syukurlah ada bpjs temen2 semoga udah langsung terpotong lewat sistem penggajian.,syukurlah ada bpjs temen  semoga udah langsung terpotong lewat sistem penggajian ,syukurlah ada bpjs temen semoga udah langsung terpotong lewat sistem pengajian ,"['syukurlah', 'ada', 'bpjs', 'temen', 'semoga', 'udah', 'langsung', 'terpotong', 'lewat', 'sistem', 'pengajian']",syukurlah ada bpjs temen semoga sudah langsung terpotong lewat sistem pengajian,syukur ada bpjs temen moga sudah langsung potong lewat sistem aji,syukur bpjs temen moga langsung potong lewat sistem aji,1,positif
"Aku malah kebantu bgt sama BPJS. Lahiran 2x cesar BPJS semua. Anak2 sakit pake Bpjs trus pas suami kmrn masuk IGD pun alhamdulillah cover full bpjs. Alhamdulillah kebantu sih sama BPJS, yuk ah bayar rutin","aku malah kebantu bgt sama bpjs. lahiran 2x cesar bpjs semua. anak2 sakit pake bpjs trus pas suami kmrn masuk igd pun alhamdulillah cover full bpjs. alhamdulillah kebantu sih sama bpjs, yuk ah bayar rutin","aku malah kebantu bgt sama bpjs. lahiran 2x cesar bpjs semua. anak2 sakit pake bpjs trus pas suami kmrn masuk igd pun alhamdulillah cover full bpjs. alhamdulillah kebantu sih sama bpjs, yuk ah bayar rutin",aku malah kebantu bgt sama bpjs  lahiran  x cesar bpjs semua  anak  sakit pake bpjs trus pas suami kmrn masuk igd pun alhamdulillah cover full bpjs  alhamdulillah kebantu sih sama bpjs  yuk ah bayar rutin,aku malah kebantu bgt sama bpjs lahiran x cesar bpjs semua anak sakit pake bpjs trus pas suami kmrn masuk igd pun alhamdulilah cover ful bpjs alhamdulilah kebantu sih sama bpjs yuk ah bayar rutin,"['aku', 'malah', 'kebantu', 'bgt', 'sama', 'bpjs', 'lahiran', 'x', 'cesar', 'bpjs', 'semua', 'anak', 'sakit', 'pake', 'bpjs', 'trus', 'pas', 'suami', 'kmrn', 'masuk', 'igd', 'pun', 'alhamdulilah', 'cover', 'ful', 'bpjs', 'alhamdulilah', 'kebantu', 'sih', 'sama', 'bpjs', 'yuk', 'ah', 'bayar', 'rutin']",aku malah kebantu banget sama bpjs lahiran kali cesar bpjs semua anak sakit pakai bpjs terus pas suami kemarin masuk igd pun alhamdulilah cover penuh bpjs alhamdulilah kebantu sih sama bpjs yuk ah bayar rutin,aku malah bantu banget sama bpjs lahir kali cesar bpjs semua anak sakit pakai bpjs terus pas suami kemarin masuk igd pun alhamdulilah cover penuh bpjs alhamdulilah bantu sih sama bpjs yuk ah bayar rutin,aku malah bantu banget sama bpjs lahir kali cesar bpjs semua anak sakit pakai bpjs terus suami kemarin masuk igd alhamdulilah cover penuh bpjs alhamdulilah bantu sih sama bpjs yuk ah bayar rutin,1,positif
Bpjs itu oke bgd salah satu program pemerintah untuk men sejahterakan rakyat.,bpjs itu oke bgd salah satu program pemerintah untuk men sejahterakan rakyat.,bpjs itu oke bgd salah satu program pemerintah untuk men sejahterakan rakyat.,bpjs itu oke bgd salah satu program pemerintah untuk men sejahterakan rakyat ,bpjs itu oke bgd salah satu program pemerintah untuk men sejahterakan rakyat ,"['bpjs', 'itu', 'oke', 'bgd', 'salah', 'satu', 'program', 'pemerintah', 'untuk', 'men', 'sejahterakan', 'rakyat']",bpjs itu oke banget salah satu program pemerintah untuk men sejahterakan rakyat,bpjs itu oke banget salah satu program perintah untuk men sejahtera rakyat,bpjs oke banget salah satu program perintah men sejahtera rakyat,1,positif
Mksih info bagus nich dan penting dari bpjs nih,mksih info bagus nich dan penting dari bpjs nih,mksih info bagus nich dan penting dari bpjs nih,mksih info bagus nich dan penting dari bpjs nih,mksih info bagus nich dan penting dari bpjs nih,"['mksih', 'info', 'bagus', 'nich', 'dan', 'penting', 'dari', 'bpjs', 'nih']",terimakasih info bagus ini dan penting dari bpjs ini,terimakasih info bagus ini dan penting dari bpjs ini,terimakasih info bagus penting bpjs,1,positif
